Date (month/day/year)	Time (UTC)	Latitude (degrees)	Longitude (degrees)
10/26/2009	12:24:58 AM	47.66145	-122.33063
10/26/2009	12:25:03 AM	47.66145	-122.33062
10/26/2009	12:25:08 AM	47.66143	-122.33067
10/26/2009	12:25:13 AM	47.66142	-122.33073
10/26/2009	12:25:18 AM	47.66138	-122.33087
10/26/2009	12:25:23 AM	47.66138	-122.33098
10/26/2009	12:25:28 AM	47.66138	-122.33100
10/26/2009	12:25:33 AM	47.66138	-122.33100
10/26/2009	12:25:38 AM	47.66138	-122.33105
10/26/2009	12:25:43 AM	47.66140	-122.33113
10/26/2009	12:25:48 AM	47.66140	-122.33120
10/26/2009	12:25:53 AM	47.66140	-122.33155
10/26/2009	12:25:58 AM	47.66138	-122.33185
10/26/2009	12:26:03 AM	47.66138	-122.33208
10/26/2009	12:26:08 AM	47.66138	-122.33228
10/26/2009	12:26:13 AM	47.66138	-122.33258
10/26/2009	12:26:18 AM	47.66138	-122.33295
10/26/2009	12:26:23 AM	47.66138	-122.33318
10/26/2009	12:26:28 AM	47.66138	-122.33320
10/26/2009	12:26:33 AM	47.66138	-122.33320
10/26/2009	12:26:38 AM	47.66138	-122.33318
10/26/2009	12:26:43 AM	47.66138	-122.33325
10/26/2009	12:26:48 AM	47.66138	-122.33353
10/26/2009	12:26:53 AM	47.66138	-122.33397
10/26/2009	12:26:58 AM	47.66138	-122.33430
10/26/2009	12:27:03 AM	47.66138	-122.33437
10/26/2009	12:27:08 AM	47.66138	-122.33440
10/26/2009	12:27:13 AM	47.66138	-122.33455
10/26/2009	12:27:18 AM	47.66138	-122.33490
10/26/2009	12:27:23 AM	47.66142	-122.33530
10/26/2009	12:27:28 AM	47.66142	-122.33552
10/26/2009	12:27:33 AM	47.66142	-122.33552
10/26/2009	12:27:38 AM	47.66143	-122.33555
10/26/2009	12:27:43 AM	47.66142	-122.33553
10/26/2009	12:27:48 AM	47.66142	-122.33562
10/26/2009	12:27:53 AM	47.66138	-122.33563
10/26/2009	12:27:58 AM	47.66142	-122.33560
10/26/2009	12:28:03 AM	47.66142	-122.33562
10/26/2009	12:28:08 AM	47.66142	-122.33565
10/26/2009	12:28:13 AM	47.66140	-122.33567
10/26/2009	12:28:18 AM	47.66142	-122.33553
10/26/2009	12:28:24 AM	47.66148	-122.33538
10/26/2009	12:28:29 AM	47.66152	-122.33537
10/26/2009	12:28:34 AM	47.66150	-122.33530
10/26/2009	12:28:39 AM	47.66150	-122.33523
10/26/2009	12:28:44 AM	47.66152	-122.33520
10/26/2009	12:28:49 AM	47.66153	-122.33522
10/26/2009	12:28:54 AM	47.66157	-122.33523
10/26/2009	12:29:03 AM	47.66162	-122.33515
10/26/2009	12:29:08 AM	47.66160	-122.33502
10/26/2009	12:29:14 AM	47.66158	-122.33513
10/26/2009	12:29:19 AM	47.66140	-122.33557
10/26/2009	12:29:24 AM	47.66140	-122.33557
10/26/2009	12:29:29 AM	47.66140	-122.33557
10/26/2009	12:29:34 AM	47.66137	-122.33552
10/26/2009	12:29:39 AM	47.66135	-122.33545
10/26/2009	12:29:44 AM	47.66137	-122.33550
10/26/2009	12:29:49 AM	47.66137	-122.33552
10/26/2009	12:29:54 AM	47.66138	-122.33553
10/26/2009	12:29:59 AM	47.66138	-122.33555
10/26/2009	12:30:04 AM	47.66138	-122.33557
10/26/2009	12:30:09 AM	47.66138	-122.33560
10/26/2009	12:30:14 AM	47.66137	-122.33585
10/26/2009	12:30:19 AM	47.66135	-122.33635
10/26/2009	12:30:24 AM	47.66135	-122.33688
10/26/2009	12:30:29 AM	47.66137	-122.33750
10/26/2009	12:30:34 AM	47.66137	-122.33817
10/26/2009	12:30:39 AM	47.66138	-122.33892
10/26/2009	12:30:44 AM	47.66138	-122.33952
10/26/2009	12:30:49 AM	47.66138	-122.33968
10/26/2009	12:30:54 AM	47.66140	-122.33968
10/26/2009	12:30:59 AM	47.66142	-122.34002
10/26/2009	12:31:04 AM	47.66142	-122.34063
10/26/2009	12:31:09 AM	47.66145	-122.34143
10/26/2009	12:31:14 AM	47.66143	-122.34218
10/26/2009	12:31:19 AM	47.66145	-122.34263
10/26/2009	12:31:24 AM	47.66143	-122.34270
10/26/2009	12:31:29 AM	47.66138	-122.34263
10/26/2009	12:31:34 AM	47.66138	-122.34265
10/26/2009	12:31:39 AM	47.66138	-122.34287
10/26/2009	12:31:44 AM	47.66143	-122.34312
10/26/2009	12:31:49 AM	47.66157	-122.34347
10/26/2009	12:31:54 AM	47.66182	-122.34400
10/26/2009	12:31:59 AM	47.66208	-122.34455
10/26/2009	12:32:04 AM	47.66217	-122.34495
10/26/2009	12:32:09 AM	47.66217	-122.34507
10/26/2009	12:32:14 AM	47.66212	-122.34530
10/26/2009	12:32:19 AM	47.66213	-122.34537
10/26/2009	12:32:24 AM	47.66215	-122.34538
10/26/2009	12:32:29 AM	47.66217	-122.34540
10/26/2009	12:32:34 AM	47.66217	-122.34540
10/26/2009	12:32:39 AM	47.66217	-122.34552
